word	count	candidate	candidate_count	score
hinjeng	1	hijeng	128	0.923
mitdang	1	midang	120	0.923
chennaa	1	chenna	181	0.923
pumphat	1	pumhat	70	0.923
chutiah	1	chutia	156	0.923
chutiah	1	chutah	337	0.923
mihopi	1	mihonpi	50	0.923
kakompa	1	kakoma	59	0.923
panthen	1	pathen	3403	0.923
kailha	1	kailhah	78	0.923
itihleh	1	itileh	933	0.923
thalpia	1	thalpi	80	0.923
pha-bep	1	phabep	269	0.923
sangjin	1	sangin	268	0.923
thanome	1	thanom	88	0.923
atahsao	1	atahsa	114	0.923
iseipeh	1	seipeh	137	0.923
anchang	1	achang	87	0.923
mangjin	1	mangin	86	0.923
chihnaa	1	chihna	218	0.923
ahaipoi	1	ahipoi	353	0.923
ngeilou	1	neilou	106	0.923
thieina	1	theina	581	0.923
adingle	1	dingle	97	0.923
kholnau	1	kholna	72	0.923
ilouhel	1	louhel	1355	0.923
phaltah	1	phatah	86	0.923
kitpan	1	kitipan	65	0.923
amitmun	1	mitmun	130	0.923
aloulai	1	loulai	115	0.923
chonnal	1	chonna	220	0.923
thei-ya	1	theiya	181	0.923
leivuia	1	leivui	89	0.923
anathoh	1	anatoh	96	0.923
ganthat	1	gantha	155	0.923
masangu	1	masang	193	0.923
dingnun	1	dingun	142	0.923
atisan	1	athisan	96	0.923
ahinho	1	ahinkho	97	0.923
samari	1	samaria	119	0.923
ijamdoh	1	jamdoh	58	0.923
hinkhon	1	hinkho	134	0.923
apouve	1	tapouve	125	0.923
anaosen	1	naosen	132	0.923
alengnu	1	lengnu	64	0.923
thuhtah	1	thutah	103	0.923
khenga	1	kahenga	240	0.923
thiltou	1	thilto	950	0.923
ganthau	1	gantha	155	0.923
tobangu	1	tobang	701	0.923
alamlen	1	lamlen	51	0.923
kisena	1	kiselna	70	0.923
ahi-uve	1	ahiuve	1307	0.923
damuvin	1	dauvin	78	0.923
dinuva	1	dinguva	193	0.923
amachon	1	amahon	1086	0.923
theinaa	1	theina	581	0.923
gao-sap	1	gaosap	100	0.923
gaothua	1	gaothu	112	0.923
leng-pa	1	lengpa	2131	0.923
asei-ye	1	aseiye	1126	0.923
achenga	1	ahenga	176	0.923
achenga	1	acheng	87	0.923
abolnaa	1	abolna	54	0.923
tahsang	1	tahsan	282	0.923
machang	1	achang	87	0.923
sangtan	1	sangan	116	0.923
hi-ding	1	hiding	132	0.923
abodoh	1	aboldoh	72	0.923
akimang	1	kimang	52	0.923
lomuvin	1	louvin	309	0.923
vetmin	1	vetemin	50	0.923
athijeh	1	ahijeh	111	0.923
umchanu	1	umchan	116	0.923
imachaa	1	imacha	322	0.923
lampima	1	lampia	105	0.923
hingsa	1	lhingsa	60	0.923
thih-in	1	hih-in	235	0.923
nanghin	1	nangin	585	0.923
tongsot	1	tonsot	304	0.923
akitina	1	akitin	61	0.923
akisemu	1	akisem	63	0.923
heh-in	1	cheh-in	146	0.923
atotdoh	1	atodoh	66	0.923
nakipah	1	akipah	51	0.923
ithahat	1	thahat	257	0.923
aheitai	1	ahitai	1652	0.923
lengtei	1	lengte	133	0.923
ileiset	1	leiset	1040	0.923
lhinnaa	1	lhinna	230	0.923
munthim	1	muthim	132	0.923
lhinnia	1	lhinna	230	0.923
adauvin	1	dauvin	78	0.923
ahouina	1	houina	53	0.923
aki-pah	1	akipah	51	0.923
thilpa	1	thilpha	231	0.923
ahaitan	1	ahitan	322	0.923
honcha	1	hongcha	63	0.923
thu-pha	1	thupha	170	0.923
