Vocabulary	Count
achapji	1
achapnou	2
achapnouji	1
achapsoh	1
achapsuh	1
achar	1
achasah	1
achasen	7
achasenteu	2
achasenu	1
achat	3
achate	92
achaten	4
achateu	55
achateuvin	4
achatloh-in	1
achatmo	1
achatsep	1
achavaitai	1
achboi	1
achbor	6
ache	143
ache-na	6
ache-uvin	1
achea	5
achebe	1
achechonin	1
achedeh	1
achedoh	28
achedoh-in	4
achedoh-un	2
achedohna	1
achedohtai	1
achedohtan	1
achedohtauve	1
achedol	1
acheh	3
achehgam	1
achei	8
achejang	1
achejeh	2
achejelin	1
acheji	2
achejin	2
achejitai	1
achejo	1
achejol	1
achekhel	1
achekhuma	1
achekit	1
achel	2
achele	6
acheleh	2
achelen	2
achelhah	2
achelhasuh	1
achelhon	1
acheloi	1
acheloitan	1
acheloiyun	1
achelut	9
achelut'in	1
achelutna	1
achelutnau	2
achem-jam	1
achemang	16
achemangin	3
achemangna	1
achemangtai	5
achemangtan	4
achemchang	1
achemhem	1
achemjam	26
achemjamu	4
achemjamuva	1
achemsasa	1
achen	209
achena	15
achena-na	1
achenauva	1
achenden	4
achendet	1
acheng	87
acheng-poi	1
achenga	1
achengden	6
achengdoh	1
achenge	13
achenghon	1
achengin	18
achengji	3
achengjie	1
achengjo	1
achengkhom	3
achengle	1
achengpa	1
achengpoi	7
achengpon	1
achengsoh	2
achengtai	8
achengtan	3
achengtapoi	1
achengtauve	2
achengtauvin	1
achengte	3
achengui	1
achengun	9
achenguve	8
achenguvin	32
achenjeh	1
achenmit	1
achenna	42
achennau	7
achenpeh	2
achenpha	10
achenphah	1
achenphau	4
achenpin	1
achenpiu	2
achensah	11
achensah-in	5
achensah-uva	1
achensahna	1
achenu	1
achenun	1
achenuva	1
achenuvin	3
achep	17
achepai	14
achepaitah	1
achepaitan	1
achepaiyin	5
achepdoh	1
achepeh	5
achepeh-in	4
achepehin	1
achepet	2
achepheiya	1
achepi	1
achepitauve	1
achepoi	3
acheptan	1
acheptanlou	1
achepum	7
achesa	1
achesah	3
achesotna	1
achesuh	27
achesuh-	1
achesuh-in	15
achesuh-un	2
achesuh-uvin	1
achet	1
achetai	70
achetan	20
achetana	1
achetanpeh	1
achetanpeh-in	1
achetapoi	1
achetapon	1
achetauve	30
achetauvin	8
acheteng	1
achetengleh	1
achetengu	2
achethei	1
achetou	27
achetouna	1
achetoupeh	1
achetoutai	11
achetouva	1
achetouve	1
achetouvin	15
achetouvun	10
achetouvuve	1
acheu	5
acheuva	13
acheuve	3
acheuvin	70
achi	4
achi-lhah	1
achibai	2
achibaiyun	2
achih	7
achihbe	1
achihna	12
achihsah	1
achikhai	1
achil	16
achil'uve	1
achilche	1
achildoh	1
achilgoi	7
achilhah	67
achilhah-in	1
achilhah-u	1
achilhahte	6
achilji	1
achillha	1
achilmat	1
achilna	2
achilnang	2
achilngem	1
achilphon	2
achilsah-un	1
achiltai	1
achilun	1
achim	13
achima	4
achimden	1
achime	1
achimin	1
achimkhum	1
achimlha	1
achimlhah	1
achimlou	1
achimsa	2
achimset	2
achimsoh	1
achimtai	9
achimtan	3
achin	30
achina	1
aching	31
achinga	8
achingbei	2
achingin	8
achingjo	1
achingjon	1
achingpa	2
achingpan	1
achingpipa	1
achingpoi	1
achingtai	2
achingtan	1
achingthem	2
achingu	1
achinguva	2
achinguvin	3
achinin	1
achinna	1
achinsah	1
achinsah-in	1
achinu	1
achip	4
achipsah	3
achish	6
achithah	1
acho	1
acho'uvin	1
achoa	1
achodoh	1
achoh	14
achohal	1
achohdoh	3
achohing	1
achohingji	1
achohna	2
achohnoh	3
achohnoh-un	1
achohpeh	2
achohsa	1
achohsate	1
achoi	12
achoi-an	1
achoi-at	1
achoian-e	1
achoiat	6
achoiatjoh	1
achoidoh	1
achoilena	1
achoipon	1
achoisah-un	1
achoisang	5
achoisanga	2
achoisangin	2
achoisangji	1
achoiya	1
achoiye	3
achoiyin	7
achoiyu	1
achoiyun	4
achoiyuvin	1
achol	15
acholdeh	1
acholjin	1
acholna	1
acholngah	1
acholngahsah	1
acholpa	1
acholpiu	1
acholpon	1
acholsah	2
acholsoh	2
achom	102
achoma	6
achombeh	8
achombeh-a	1
achombeh-in	2
achomdang	1
achomdoh	10
achomdoh-in	1
achome	1
achomgam	10
achomgama	1
achomgamuva	1
achomhel	2
achomhelin	1
achomin	12
achomjap	1
achomjoh	1
achomkeh	1
achomkhat	1
achomkhom	2
achomkhomle	1
achomlam	1
achomlhan	1
achomlut	1
achomna	1
achompeh	1
achomsah	1
achomsoh	1
achomtan	2
achomtauve	3
achomu	1
achomun	1
achomuva	1
achomuve	1
achomuvin	1
achon	72
achon'un	1
achon'uvin	1
achona	5
achonbeh	1
achonbong	1
achondan	15
achondih	2
achondoh-in	1
achone	1
achongin	2
achonin	12
achonjeh	1
achonjeh-in	1
achonjeh-u	1
achonjie	1
achonjo	1
achonjoi	1
achonjou	1
achonkhel	2
achonkhelna	1
achonlen	1
achonlo	1
achonlut	1
achonna	45
achonnaa	1
achonnau	6
achonnset	1
achonohna	1
achonpha	3
achonphat	2
achonpoi	1
achonpon	1
achonpouvin	1
achonsah	2
achonsahna	1
achonse	15
achonsea	13
achonseho	1
achonsejia	1
achonsejipoi	1
achonselou	2
achonsen	4
achonsepa	5
achonsepan	1
achonsepoi	1
achonset	110
achonset'u	1
achonsetai	2
achonsetauve	1
achonsetjeh-uva	1
achonsetna	10
achonsetnau	17
achonsetpi	1
achonseuve	1
achonseuvin	3
achonsoh	2
achonsoh-in	1
achontai	2
achontan	3
achontauvin	1
achonthang	1
achonu	2
achonun	2
achonuva	2
achonuvin	2
achoom	1
achop	30
achopa	1
achopai	2
achopan	1
achopau	1
achopel	1
achople	1
achopolna	1
achoptai	1
achor	5
achot	7
achothou	1
achotlut	2
achotna	2
achotpha	5
achotphaa	1
achotphan	2
achotphauva	1
achotsah	5
achotsoh	1
achou	1
achouva	1
achouvin	1
achouvun	1
achsah	12
achsahin	1
achu	10
achu-lhah	1
achudoh	1
achuh	23
achuhna	2
achuhsah	3
achuhsah-in	1
achui	15
achujin	2
achujongle	1
achujongleh	2
achukha	2
achukhapoi	1
achule	5
achulhah	1
achulhan	1
achulnam	1
achum	2
achumin	1
achumun	2
achun	73
achuna	1
achunai	1
achung	72
achunga	249
achungah	18
achungchang	2
achungchon	4
achungchona	2
achunglam	4
achungnung	7
achungnunge	1
achungnungjo	2
achungnungjoi	1
achungsoh	1
achungsoh-uvin	1
achungthu	1
achungu	1
achungun	1
achunguva	149
achunguvah	5
achungva	1
achungvum	3
achungvuma	4
achunin	1
achunjol	1
achunna	1
achunom	1
achup	29
achupsoh	6
achuptan	1
achutai	7
achutan	7
achuti	72
achutia	1
achutijep	2
achutile	37
achutileh	10
achutilou	17
achutiloule	18
achutilouleh	10
achutilouva	56
achutinai	1
achutitan	1
achuuvin	1
achuvin	1
achzib	4
aclian	1
acts	4
ad	8
ada	148
ada'lia	1
adab	39
adad	2
adah	21
adah-in	1
adahdoh	1
adahdoh-in	2
adahel	1
adahjin	1
adahphe	1
adai	8
adai'ah	3
adaithang	1
adajeu	1
adak	8
adalha	25
adalhah	61
adalhah-a	2
adalhah-uva	1
adalhahna	1
adalhahsa	2
adalhahsoh	2
adalhai	4
adalhan	34
adalhapoi	1
adalhapon	1
adalhasoh	1
adalhatai	6
adalhatan	1
adalhatauve	1
adalhatauvin	1
adalhauvin	21
adallouna	1
adaltan	1
adaltanton	1
adam	49
adama	1
adamdoh	2
adamhel	2
adamhela	1
adamheltai	1
adamin	1
