Vocabulary	Count
alen	58
amatoh	58
konga	58
ve	58
jamdoh	58
ajing	58
ephah	58
nanu	58
hot	58
lel	58
jetlam	58
kahinkho	58
nadon	58
chap	58
aneiye	58
apate	58
gal-hang	58
themgaoho	58
zadok	58
kumin	58
chalde	58
thingpel	58
jn	58
aven	57
vachate	57
nahitai	57
asemdoh	57
vel	57
nache	57
amalek	57
cheptan	57
khol	57
akimvel	57
akimu	57
jagup	57
mongu	57
mantam	57
athao	57
govam	57
kipedoh	57
gideon	57
jesse	57
ki	56
nahitauve	56
nachan	56
hela	56
theiyuva	56
aseiyuve	56
kelcha	56
seiya	56
vaipo	56
nachen	56
achutilouva	56
a-pathen	56
akisuh	56
natna	56
jenguva	56
israelten	56
huhhing	56
saki	56
amut	56
akam	56
kgs	56
abangin	56
along	55
alhah	55
gul	55
ajipa	55
avai	55
nailut	55
jun	55
ngam	55
kanung	55
seidoh	55
simeon	55
adong	55
achateu	55
akimvela	55
haona	55
ngaisah	55
lheng	55
khoiju	55
pohgih	55
meibang	55
thuma	55
pangpa	55
agih	55
ibol	55
milal	55
satan	55
nahinkho	54
lhi	54
alhin	54
adei	54
tul	54
kikah	54
agamgi	54
jouva	54
khopem	54
aphung	54
apon	54
lamah	54
nasopi	54
sol	54
thuseiya	54
jep	54
aneiya	54
atao	54
ahijongleh	54
abolna	54
tamtah-in	54
athenga	54
jeh-a	54
lengpithei	54
kipe	54
ihiuve	54
neipen	54
abim	54
nebuchadnez	54
pilate	54
isaiah	53
doh-in	53
mat	53
jol	53
dei	53
kalhagao	53
mon	53
aboltai	53
hunguvin	53
adel	53
gamdang	53
atouvin	53
ahiya	53
loule	53
neocha	53
thilong	53
bethlehem	53
sel	53
lhahna	53
kisa	53
kahei	53
thouvin	53
kipal	53
veiya	53
konggah	53
nahiuvin	53
dah	53
nem	53
houina	53
theichang	53
zer	53
gib	53
vahchoina	53
chonphat	53
alang	52
twikhanglena	52
lan	52
ahinpui	52
banguva	52
jonin	52
khan	52
vadunga	52
em	52
lea	52
khuh	52
asun	52
ase	52
kamin	52
jeh-uva	52
khop	52
lamlhah	52
eleazar	52
asep	52
hal	52
hiuvam	52
nathilbol	52
nahil	52
kimang	52
ato	52
a-pathenu	52
lhanga	52
ahazi	52
akisune	52
thuchih	51
atile	51
kichai	51
gotwi	51
lengpi	51
athilkeo	51
heluvin	51
eipeh	51
katha	51
keitauve	51
sangkhol	51
mo	51
dom	51
manasseh	51
nasohte	51
agon	51
akipoh	51
kohath	51
khanga	51
huhdoh	51
tih	51
mithi	51
lhankhuh	51
akipah	51
akisil	51
lamlen	51
amazi	51
asaph	51
ijehinem	50
kalah	50
kinung	50
gimna	50
ataovin	50
phaichama	50
vetemin	50
ahitah	50
cholsolou	50
aneo	50
ajan	50
kisim	50
jui	50
alhai	50
vun	50
khela	50
asher	50
kathoh	50
atou	50
dola	50
ka-pathenu	50
nalhacha	50
kilekit	50
niseh	50
kinbol	50
mihonpi	50
kichoi	50
gucha	50
ngat	50
lungsatna	50
namdang	50
thuhil	50
hebrew	49
adam	49
tange	49
nipi	49
sidon	49
sodom	49
jengtan	49
aphai	49
thempua	49
bul	49
khatvei	49
aumpon	49
ami	49
he	49
umin	49
chona	49
tum	49
kilhon	49
aphah	49
songa	49
gil	49
mivaicha	49
hopsom	49
kisilna	49
uri	49
adingin	49
hijong	49
gibeon	49
jezreel	49
lhagaova	49
herod	49
seijui	49
akimudoh	48
neipeh	48
pangin	48
ahinge	48
somgup	48
akijot	48
akipat	48
chonse	48
anasei	48
adoh	48
kajan	48
kim	48
gamhel	48
ahat	48
tuitah	48
akitepna	48
theiyu	48
thujou	48
lailung	48
amangthah	48
amijat	48
mijat	48
ahalvam	48
ngaiya	47
nasem	47
jot	47
pin	47
sheba	47
nasah	47
nakhang	47
ajui	47
aseiya	47
eibol	47
sohpa	47
aji	47
kelngoinou	47
dihna	47
mitcho	47
chauva	47
sohchanga	47
ajet	47
sauvin	47
alhacha	47
phungbula	47
kisong	47
gollhangpa	47
akisimdoh	47
kalhacha	47
thildih	47
azari	47
kipea	47
uzzi	47
lhontan	46
naman	46
semjang	46
minthang	46
pao	46
luipi	46
nakoma	46
ahivang	46
chana	46
hepi	46
hitoh	46
nagin	46
kelngoichal	46
kou	46
keova	46
neng	46
khumin	46
theipoi	46
semdoh	46
korah	46
vetup	46
apedoh	46
ponnem	46
kitung	46
ahinsol	46
tapouvin	46
neo	46
chutobangma	46
dingpa	46
kikai	46
caleb	46
thudih	46
e-i	46
thuneina	46
chi	45
hu	45
gu	45
thilsem	45
ahom	45
meithai	45
ani	45
chapaten	45
let	45
kakitepna	45
panna	45
agou	45
joule	45
chep	45
ponge	45
vinge	45
chungah	45
kahiye	45
khattouvin	45
rachel	45
zebulun	45
kalval	45
namtui	45
khaodip	45
kiseina	45
akangtalai	45
alhun	45
akibol	45
sakolte	45
boldoh	45
thangvahna	45
bena	45
aseiyu	45
chujat	45
balak	45
achonna	45
khonunga	45
ram	45
nathan	45
kihilna	45
ahivanginla	45
gamvaipo	45
ruth	44
chin	44
aumtai	44
nathi	44
amapan	44
hoilama	44
beh-in	44
jebus	44
phattheina	44
asuhmang	44
ahunge	44
atama	44
apuiyin	44
atan	44
jingpi	44
nante	44
pui	44
va	44
tau	44
suhlou	44
panin	44
phaiya	44
ahitin	44
mohor	44
nauve	44
kilhajol	44
songtum	44
kithang	44
kikhong	44
lhagaovin	44
tah-a	44
sihon	44
asumang	44
phin	44
doiphung	44
chonphatna	44
jonah	43
angah	43
kithopi	43
kaneh	43
lamin	43
akisel	43
tobangin	43
athilto	43
bangkot	43
ahijeh-in	43
akipuiyin	43
abolpeh	43
noma	43
laban	43
kapan	43
vuma	43
ajou	43
galkai	43
aumtapoi	43
themho	43
vaibol	43
pipu	43
touva	43
lungmon	43
choi	43
umden	43
vaipoa	43
keiyu	43
nalah-uva	43
abul	43
bolte	43
hesohna	43
khomol	43
umun	43
jesua	43
thunei	42
kapehdoh	42
ponte	42
apotdoh-in	42
nachilhah	42
achenna	42
kisah	42
lot	42
kipaman	42
jingna	42
nadei	42
nikhon	42
hisah	42
sohte	42
phun	42
kamui	42
toupa	42
upate	42
sohdoh	42
apui	42
sinai	42
tongkha	42
polam	42
aja	42
jengui	42
aphajoi	42
greek	42
hampa	41
nangle	41
kakoi	41
akan	41
chat	41
nason	41
meikhu	41
alhing	41
ason	41
bongnoi	41
akile	41
athin	41
kataona	41
naphtali	41
khapoi	41
mizpah	41
athia	41
vaibola	41
nahol	41
mut	41
nading	41
than	41
among	41
chenga	41
eihuhdoh	41
jakhat	41
pahcha	41
natohna	41
alhaving	41
thangvah	41
nahsah	41
agoulo	41
akhoneo	41
theiyun	41
thun	41
ui	41
kasah	41
avahchoi	41
jehoshaphat	41
pettah	41
micah	40
kicholdo	40
aheh	40
hichelai	40
